college_code,college_name,branch_code,branch_name,category,closing_percentile
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,GOPENS,88.6037289
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,GSCS,78.5613347
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,GNT3S,76.1358545
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,GSEBCS,69.7604398
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,LSCS,82.7086811
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,LVJS,81.7098306
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,PWDOPENS,88.6997043
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,ORPHAN,88.5551879
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,EWS,53.7424491
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,GSCS,96.2437396
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,GSEBCS,94.3331807
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,LOPENS,97.3461799
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,LSEBCS,92.7108008
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,TFWS,96.7229568
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,PWDROBC,63.2687832
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,EWS,94.8964961
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,GOBCS,97.0497898
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,GSEBCS,91.9492948
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,LOPENS,96.0392321
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,LSEBCS,91.7849899
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,TFWS,95.6320635
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,ORPHAN,93.6359026
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,EWS,96.1353059
01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,GOPENS,91.9393058
01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,GNT2S,82.7086811
01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,LNT1S,84.5731157
01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,TFWS,95.7978793
01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,EWS,72.7750912
01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,GOPENS,93.8492553
01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,GSTS,83.7440631
01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,GOBCS,93.4557596
01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,GSEBCS,89.5917850
01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,LOPENS,95.0547190
01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,LVJS,76.5404634
01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,LSEBCS,84.8482325
01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,TFWS,92.7704421
01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,EWS,90.5124049
01002,"Government College of Engineering, Amravati",0100246610,Instrumentation Engineering,GOPENS,88.5013511
01002,"Government College of Engineering, Amravati",0100246610,Instrumentation Engineering,LOBCS,89.1945571
01005,"Sant Gadge Baba Amravati University,Amravati",0100261210,Mechanical Engineering,GOPENS,89.3223371
01005,"Sant Gadge Baba Amravati University,Amravati",0100261210,Mechanical Engineering,GSCS,77.8445199
01005,"Sant Gadge Baba Amravati University,Amravati",0100261210,Mechanical Engineering,GVJS,76.1268781
01005,"Sant Gadge Baba Amravati University,Amravati",0100261210,Mechanical Engineering,LOPENS,86.7801974
01005,"Sant Gadge Baba Amravati University,Amravati",0100261210,Mechanical Engineering,LSCS,77.2074577
01005,"Sant Gadge Baba Amravati University,Amravati",0100261210,Mechanical Engineering,LSTS,83.1469549
01005,"Sant Gadge Baba Amravati University,Amravati",0100261210,Mechanical Engineering,LOBCS,81.9341840
01005,"Sant Gadge Baba Amravati University,Amravati",0100261210,Mechanical Engineering,TFWS,60.6237408
01005,"Sant Gadge Baba Amravati University,Amravati",0100261210,Mechanical Engineering,EWS,38.8659877
01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,GOPENH,80.9512783
01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,GSCH,63.2687832
01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,GOBCH,73.6262684
01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,LOBCH,80.5269954
01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,LSEBCH,77.5670525
01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,PWDOPENH,70.1991193
01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,PWD,70.2091815
01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,GSTH,87.9872713
01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,GSCO,93.8820380
01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,LOPENO,32.0979389
01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,GVJO,57.1959853
01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,DEFOPENS,93.5806257
01005,"Sant Gadge Baba Amravati University,Amravati",0100551710,Oil and Paints Technology,GOPENH,57.2537563
01005,"Sant Gadge Baba Amravati University,Amravati",0100551710,Oil and Paints Technology,GOBCH,30.9541920
01005,"Sant Gadge Baba Amravati University,Amravati",0100551710,Oil and Paints Technology,LOPENH,43.5298862
