college_code,college_name,branch_code,branch_name,category,closing_percentile
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,GOPENS,91.7377622
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,GNT2S,83.2058578
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,GOBCS,86.6751751
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,DEFOPENS,91.7968608
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,GOPENS,96.1512986
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,GNT2S,92.8770798
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,LOPENS,95.6356670
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,EWS,92.5540912
01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,GOPENS,92.5218400
01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,GOBCS,91.7513251
01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,GSEBCS,85.0571556
01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,LOBCS,93.7361801
01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,EWS,81.0133535
01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,GOPENS,95.8324651
01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,GSCS,89.8231024
01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,GVJS,82.4521073
01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,GSEBCS,90.0175917
01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,LOPENS,95.3847746
01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,DEFRSEBC,61.6834321
01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,EWS,90.0917161
01002,"Government College of Engineering, Amravati",0100246610,Instrumentation Engineering,GOPENS,90.6688280
01002,"Government College of Engineering, Amravati",0100246610,Instrumentation Engineering,GVJS,60.9090909
01002,"Government College of Engineering, Amravati",0100246610,Instrumentation Engineering,GOBCS,89.8617670
01002,"Government College of Engineering, Amravati",0100246610,Instrumentation Engineering,PWDOPENS,26.7336064
01002,"Government College of Engineering, Amravati",0100246610,Instrumentation Engineering,DEFOPENS,79.6033896
01002,"Government College of Engineering, Amravati",0100246610,Instrumentation Engineering,EWS,89.5868952
