college_code,college_name,branch_code,branch_name,category,closing_percentile
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,GOPENS,88.2484746
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,GSCS,87.9159305
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,GVJS,85.1139120
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,GOBCS,86.6827486
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,GSEBCS,78.4342571
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,LOPENS,89.8391608
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,LVJS,84.1131441
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,LOBCS,89.2945239
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,LSEBCS,71.1730870
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,PWDOPENS,87.2335313
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,PWDOBCS,77.1631566
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,TFWS,88.6801020
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,DEFROBCS,88.0599617
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,ORPHAN,86.7202099
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,EWS,87.9159305
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,GOPENS,97.2320377
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,GSCS,93.5154990
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,GVJS,95.9705160
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,GNT1S,94.2525900
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,GOBCS,97.1954276
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,GSEBCS,94.9067632
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,LOPENS,97.3358402
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,LSCS,92.5218400
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,TFWS,98.9287476
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,EWS,95.7237762
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,GOPENS,96.3339223
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,GSCS,91.4198717
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,GVJS,92.0354593
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,GOBCS,95.9261851
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,GSEBCS,93.7361801
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,LOPENS,96.5695839
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,LSCS,91.0510720
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,LSTS,65.3084343
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,LSEBCS,93.7635248
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,TFWS,96.1656046
