college_code,college_name,branch_code,branch_name,category,closing_percentile
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,GOPENS,79.4751328
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,GNT1S,69.0394836
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,GOBCS,78.3496848
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,LOPENS,74.5211181
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,PWDOPENS,79.8656107
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,DEFOPENS,67.4824177
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,TFWS,70.9370842
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,ORPHAN,70.7220669
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,EWS,69.7082914
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,GOPENS,96.9378449
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,GNT3S,93.5601746
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,TFWS,96.7777145
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,EWS,94.3125425
1002,"Government College of Engineering, Amravati",100224610,Information Technology,EWS,93.5655058
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,GOPENS,85.5965895
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,GSCS,83.1461738
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,GNT1S,79.1079584
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,PWDOPENS,85.7967175
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,TFWS,73.5739966
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,EWS,86.3666603
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,GOPENS,92.2870170
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,GOBCS,91.4874509
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,LOPENS,92.9348086
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,LOBCS,92.4845102
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,TFWS,90.8078665
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,ORPHAN,89.6297360
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,EWS,91.9734660
1002,"Government College of Engineering, Amravati",100246610,Instrumentation Engineering,GOPENS,85.5965895
1002,"Government College of Engineering, Amravati",100246610,Instrumentation Engineering,GSCS,64.0609282
1002,"Government College of Engineering, Amravati",100246610,Instrumentation Engineering,GVJS,72.4718017
1002,"Government College of Engineering, Amravati",100246610,Instrumentation Engineering,GOBCS,74.2260244
1002,"Government College of Engineering, Amravati",100246610,Instrumentation Engineering,PWDOPENS,54.1780657
1002,"Government College of Engineering, Amravati",100246610,Instrumentation Engineering,TFWS,75.7886771
1002,"Government College of Engineering, Amravati",100246610,Instrumentation Engineering,EWS,75.6049358
1005,"Sant Gadge Baba Amravati University,Amravati",100261210,Mechanical Engineering,GOPENS,76.4889836
1005,"Sant Gadge Baba Amravati University,Amravati",100261210,Mechanical Engineering,GSCS,71.9798416
1005,"Sant Gadge Baba Amravati University,Amravati",100261210,Mechanical Engineering,GNT1S,63.5478045
1005,"Sant Gadge Baba Amravati University,Amravati",100261210,Mechanical Engineering,GNT2S,57.9292585
1005,"Sant Gadge Baba Amravati University,Amravati",100261210,Mechanical Engineering,GNT3S,56.3628587
1005,"Sant Gadge Baba Amravati University,Amravati",100261210,Mechanical Engineering,LOPENS,82.9381616
1005,"Sant Gadge Baba Amravati University,Amravati",100261210,Mechanical Engineering,LSCS,63.0502380
1005,"Sant Gadge Baba Amravati University,Amravati",100261210,Mechanical Engineering,LSTS,74.5106403
1005,"Sant Gadge Baba Amravati University,Amravati",100261210,Mechanical Engineering,PWDOPENS,57.9292585
1005,"Sant Gadge Baba Amravati University,Amravati",100261210,Mechanical Engineering,DEFOPENS,42.0206383
1005,"Sant Gadge Baba Amravati University,Amravati",100261210,Mechanical Engineering,TFWS,74.1161376
1005,"Sant Gadge Baba Amravati University,Amravati",100261210,Mechanical Engineering,EWS,77.1347248
1005,"Sant Gadge Baba Amravati University,Amravati",100550310,Food Technology,GOPENH,34.6668564
1005,"Sant Gadge Baba Amravati University,Amravati",100550310,Food Technology,GSTH,21.2317049
1005,"Sant Gadge Baba Amravati University,Amravati",100550310,Food Technology,GSCH,66.5894149
1005,"Sant Gadge Baba Amravati University,Amravati",100550310,Food Technology,GVJH,60.6284658
1005,"Sant Gadge Baba Amravati University,Amravati",100550310,Food Technology,EWS,42.0206383
1005,"Sant Gadge Baba Amravati University,Amravati",100551710,Oil and Paints Technology,GOPENH,28.4665226
1005,"Sant Gadge Baba Amravati University,Amravati",100551710,Oil and Paints Technology,GOPENH,34.1210946
1005,"Sant Gadge Baba Amravati University,Amravati",100551710,Oil and Paints Technology,LOPENH,21.5067519
1005,"Sant Gadge Baba Amravati University,Amravati",100551710,Oil and Paints Technology,GOPENO,69.6045087
1012,"Government College of Engineering,Yavatmal",100552710,Petro Chemical Engineering,GOPENH,10.4981278
1012,"Government College of Engineering,Yavatmal",100552710,Petro Chemical Engineering,GSCH,52.4476185
1012,"Government College of Engineering,Yavatmal",100552710,Petro Chemical Engineering,PWDOPENH,48.7700838
1012,"Government College of Engineering,Yavatmal",100552710,Petro Chemical Engineering,PWD,87.9850640
1012,"Government College of Engineering,Yavatmal",100552710,Petro Chemical Engineering,GOPENO,32.2621925
1012,"Government College of Engineering,Yavatmal",101219110,Civil Engineering,GOPENH,41.9139826
1012,"Government College of Engineering,Yavatmal",101219110,Civil Engineering,GSTH,39.8713522
1012,"Government College of Engineering,Yavatmal",101219110,Civil Engineering,GNT1H,35.6598862
