college_code,college_name,branch_code,branch_name,category,closing_percentile
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,GOPENS,82.5401330
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,GOBCS,82.1650299
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,LOPENS,91.7656790
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,LSTS,81.2344165
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,TFWS,20.3198986
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,DEFROBCS,70.6180504
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,ORPHAN,81.0090469
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,GOPENS,97.8185350
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,GVJS,90.6234798
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,EWS,95.7719768
1002,"Government College of Engineering, Amravati",100224610,Information Technology,GOPENS,97.2746725
1002,"Government College of Engineering, Amravati",100224610,Information Technology,GSCS,93.1024197
1002,"Government College of Engineering, Amravati",100224610,Information Technology,GNT3S,89.4065093
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,GSCS,81.4853713
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,LOPENS,90.4938272
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,LSTS,7.5516424
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,LNT3S,39.9066862
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,PWDOPENS,88.9154021
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,TFWS,83.3890161
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,EWS,93.5213570
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,GOPENS,94.8416105
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,GSCS,88.6736154
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,GSTS,58.1195238
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,LOPENS,96.6904656
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,LSCS,85.6187666
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,TFWS,92.6748971
1002,"Government College of Engineering, Amravati",100246610,Instrumentation Engineering,GOPENS,81.0352521
1002,"Government College of Engineering, Amravati",100246610,Instrumentation Engineering,GSCS,62.3996115
1002,"Government College of Engineering, Amravati",100246610,Instrumentation Engineering,GNT2S,42.5530244
1002,"Government College of Engineering, Amravati",100246610,Instrumentation Engineering,GOBCS,79.8081214
1002,"Government College of Engineering, Amravati",100246610,Instrumentation Engineering,LOPENS,83.3890161
1002,"Government College of Engineering, Amravati",100246610,Instrumentation Engineering,LNT1S,65.1075350
1002,"Government College of Engineering, Amravati",100246610,Instrumentation Engineering,TFWS,66.4309764
1002,"Government College of Engineering, Amravati",100261210,Mechanical Engineering,GOPENS,88.4658665
1002,"Government College of Engineering, Amravati",100261210,Mechanical Engineering,GSCS,85.1782223
1002,"Government College of Engineering, Amravati",100261210,Mechanical Engineering,GSTS,76.2843676
1002,"Government College of Engineering, Amravati",100261210,Mechanical Engineering,LOPENS,83.3483950
1002,"Government College of Engineering, Amravati",100261210,Mechanical Engineering,DEFOPENS,81.2344165
1002,"Government College of Engineering, Amravati",100261210,Mechanical Engineering,TFWS,84.9532361
1002,"Government College of Engineering, Amravati",100261210,Mechanical Engineering,ORPHAN,84.4494892
1002,"Government College of Engineering, Amravati",100261210,Mechanical Engineering,EWS,83.4053417
1005,"Sant Gadge Baba Amravati University,Amravati",100550310,Food Technology,GOPENH,56.7366842
1005,"Sant Gadge Baba Amravati University,Amravati",100550310,Food Technology,GSTH,29.4111028
1005,"Sant Gadge Baba Amravati University,Amravati",100550310,Food Technology,GVJH,83.2373857
1005,"Sant Gadge Baba Amravati University,Amravati",100550310,Food Technology,GOBCH,56.9822530
1005,"Sant Gadge Baba Amravati University,Amravati",100550310,Food Technology,LOPENH,15.9315290
1005,"Sant Gadge Baba Amravati University,Amravati",100550310,Food Technology,PWDOPENH,26.0127532
1005,"Sant Gadge Baba Amravati University,Amravati",100550310,Food Technology,PWD,44.0513989
1005,"Sant Gadge Baba Amravati University,Amravati",100550310,Food Technology,GOPENO,45.6445719
1005,"Sant Gadge Baba Amravati University,Amravati",100551710,Oil and Paints Technology,PWDOPENH,45.9664342
1005,"Sant Gadge Baba Amravati University,Amravati",100551710,Oil and Paints Technology,PWD,50.2663166
1005,"Sant Gadge Baba Amravati University,Amravati",100551710,Oil and Paints Technology,LSTH,55.7163295
1005,"Sant Gadge Baba Amravati University,Amravati",100551710,Oil and Paints Technology,GOBCO,64.4512569
1005,"Sant Gadge Baba Amravati University,Amravati",100552710,Petro Chemical Engineering,GOPENH,9.4916141
1005,"Sant Gadge Baba Amravati University,Amravati",100552710,Petro Chemical Engineering,LOPENH,39.9066862
1005,"Sant Gadge Baba Amravati University,Amravati",100552710,Petro Chemical Engineering,PWDOPENH,26.9098391
1005,"Sant Gadge Baba Amravati University,Amravati",100552710,Petro Chemical Engineering,PWD,30.9520229
1012,"Government College of Engineering,Yavatmal",101219110,Civil Engineering,GOPENH,56.7366842
1012,"Government College of Engineering,Yavatmal",101219110,Civil Engineering,GSCH,54.6296296
1012,"Government College of Engineering,Yavatmal",101219110,Civil Engineering,GSTH,52.7523799
1012,"Government College of Engineering,Yavatmal",101219110,Civil Engineering,GNT3H,63.6508999
1012,"Government College of Engineering,Yavatmal",101219110,Civil Engineering,GOBCH,55.2985075
1012,"Government College of Engineering,Yavatmal",101219110,Civil Engineering,LOPENH,47.3870980
1012,"Government College of Engineering,Yavatmal",101219110,Civil Engineering,PWDOPENH,49.2213366
1012,"Government College of Engineering,Yavatmal",101219110,Civil Engineering,PWD,64.0952985
1012,"Government College of Engineering,Yavatmal",101219110,Civil Engineering,GOPENO,43.6615489
1012,"Government College of Engineering,Yavatmal",101219110,Civil Engineering,GSCO,30.5964599
1012,"Government College of Engineering,Yavatmal",101219110,Civil Engineering,GNT2O,42.4233825
1012,"Government College of Engineering,Yavatmal",101219110,Civil Engineering,GOBCO,76.8390440
1012,"Government College of Engineering,Yavatmal",101219110,Civil Engineering,LOPENO,27.3241113
