college_code,college_name,branch_code,branch_name,category,closing_percentile
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,GOPENS,81.0090469
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,GSTS,72.6119403
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,GNT2S,75.8673530
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,GNT3S,69.6924231
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,GOBCS,79.8081214
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,LOPENS,83.8780770
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,LSTS,68.3823818
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,LVJS,82.2515860
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,LNT2S,69.6924231
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,LOBCS,83.0041152
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,PWDOPENS,17.5985227
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,DEFOPENS,76.0463981
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,TFWS,84.9532361
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,PWDROBC,4.9294633
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,ORPHAN,81.2345291
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,EWS,79.5863208
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,GOPENS,97.3887196
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,GSCS,93.8067312
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,GSTS,85.9219677
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,GNT3S,93.2108027
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,GOBCS,97.3291438
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,LOPENS,98.2315536
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,LSTS,76.7173434
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,TFWS,96.7339025
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,ORPHAN,96.0680883
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,EWS,97.2654813
1002,"Government College of Engineering, Amravati",100224610,Information Technology,GOPENS,95.8828395
1002,"Government College of Engineering, Amravati",100224610,Information Technology,GSCS,92.6711629
1002,"Government College of Engineering, Amravati",100224610,Information Technology,GSTS,81.1192722
1002,"Government College of Engineering, Amravati",100224610,Information Technology,GVJS,91.7514817
1002,"Government College of Engineering, Amravati",100224610,Information Technology,GNT2S,95.6910814
1002,"Government College of Engineering, Amravati",100224610,Information Technology,GNT3S,90.1789743
1002,"Government College of Engineering, Amravati",100224610,Information Technology,GOBCS,95.3975994
1002,"Government College of Engineering, Amravati",100224610,Information Technology,LOPENS,97.0482604
1002,"Government College of Engineering, Amravati",100224610,Information Technology,LSCS,91.7514817
1002,"Government College of Engineering, Amravati",100224610,Information Technology,TFWS,95.4923430
1002,"Government College of Engineering, Amravati",100224610,Information Technology,DEFROBCS,89.3951296
1002,"Government College of Engineering, Amravati",100224610,Information Technology,ORPHAN,95.0827713
1002,"Government College of Engineering, Amravati",100224610,Information Technology,EWS,95.6542890
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,GOPENS,88.4658665
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,GSCS,80.0408747
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,GSTS,53.6496624
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,GVJS,79.5208170
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,GNT2S,81.1192722
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,GOBCS,85.1907088
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,LOPENS,89.8061335
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,LSCS,85.3534944
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,LSTS,60.9799222
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,LNT3S,58.7124464
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,PWDOPENS,58.0840122
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,DEFOPENS,18.2192293
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,TFWS,92.4568642
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,ORPHAN,83.1704016
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,EWS,88.6695314
